"constituency_name","constituency_number","eligible_first_vote","valid_first_vote","percent_eligible_first_vote","margin","cum_percent_margin"
"Fürth",243,255491,197027,0.00334448160535117,33504,0.204013377926421
"Regensburg",233,252916,196889,0.00668896321070234,45996,0.0769230769230769
"Bremen I",54,252496,185437,0.0100334448160535,10744,0.668896321070234
"Landshut",228,249836,191235,0.0133779264214047,49732,0.0568561872909699
"Paderborn – Gütersloh III",137,249359,185597,0.0167224080267559,62021,0.0167224080267559
"Mainz",205,248996,200319,0.020066889632107,15351,0.528428093645485
"Rhein-Erft-Kreis I",91,248982,189339,0.0234113712374582,15415,0.521739130434783
"Augsburg-Land",253,248812,197263,0.0267558528428094,66439,0.0100334448160535
"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",62,248708,184378,0.0301003344481605,19249,0.464882943143813
"Ostallgäu",257,247539,189889,0.0334448160535117,69412,0.00334448160535117
"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",61,247441,193510,0.0367892976588629,2493,0.933110367892977
"Segeberg – Stormarn-Mitte",8,247296,191772,0.040133779264214,26390,0.31438127090301
"Euskirchen – Rhein-Erft-Kreis II",92,246753,185575,0.0434782608695652,30901,0.254180602006689
"Bielefeld – Gütersloh II",132,246216,184077,0.0468227424749164,4601,0.859531772575251
"Böblingen",260,245678,194286,0.0501672240802676,37270,0.177257525083612
"Herzogtum Lauenburg – Stormarn-Süd",10,244930,191765,0.0535117056856187,23566,0.384615384615385
"Ansbach",241,243760,183903,0.0568561872909699,47676,0.0635451505016722
"Hamburg-Mitte",18,243543,174015,0.0602006688963211,11646,0.632107023411371
"Oberhavel – Havelland II",58,243108,182290,0.0635451505016722,13032,0.588628762541806
"Darmstadt",186,242622,189775,0.0668896321070234,1774,0.959866220735786
"Heilbronn",267,242553,183110,0.0702341137123746,22136,0.411371237458194
"München-West/Mitte",220,241282,192077,0.0735785953177258,19731,0.454849498327759
