"district_name","eligible_first_vote","valid_first_vote","percent_eligible_first_vote"
"Fürth",255491,197027,0.00334448160535117
"Regensburg",252916,196889,0.00668896321070234
"Bremen I",252496,185437,0.0100334448160535
"Landshut",249836,191235,0.0133779264214047
"Paderborn – Gütersloh III",249359,185597,0.0167224080267559
"Mainz",248996,200319,0.020066889632107
"Rhein-Erft-Kreis I",248982,189339,0.0234113712374582
"Augsburg-Land",248812,197263,0.0267558528428094
"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",248708,184378,0.0301003344481605
"Ostallgäu",247539,189889,0.0334448160535117
"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",247441,193510,0.0367892976588629
"Segeberg – Stormarn-Mitte",247296,191772,0.040133779264214
"Euskirchen – Rhein-Erft-Kreis II",246753,185575,0.0434782608695652
"Bielefeld – Gütersloh II",246216,184077,0.0468227424749164
"Böblingen",245678,194286,0.0501672240802676
"Herzogtum Lauenburg – Stormarn-Süd",244930,191765,0.0535117056856187
"Ansbach",243760,183903,0.0568561872909699
"Hamburg-Mitte",243543,174015,0.0602006688963211
"Oberhavel – Havelland II",243108,182290,0.0635451505016722
"Darmstadt",242622,189775,0.0668896321070234
"Heilbronn",242553,183110,0.0702341137123746
"München-West/Mitte",241282,192077,0.0735785953177258
"Köln II",240985,196761,0.0769230769230769
"Vorpommern-Rügen – Vorpommern-Greifswald I",240887,167662,0.0802675585284281
"Gera – Greiz – Altenburger Land",240738,174113,0.0836120401337793
"Hannover-Land II",239923,186766,0.0869565217391304
"Neu-Ulm",239647,180376,0.0903010033444816
"Neuwied",239284,178205,0.0936454849498328
"München-Ost",239169,185687,0.096989966555184
"Ingolstadt",238605,182472,0.100334448160535
"Pinneberg",238533,186095,0.103678929765886
"Magdeburg",238060,160556,0.107023411371237
"Rhein-Sieg-Kreis I",237415,180563,0.110367892976589
"Berlin-Pankow",237071,186313,0.11371237458194
"Freising",235746,185177,0.117056856187291
"Hamburg-Wandsbek",235513,170867,0.120401337792642
"Dresden II – Bautzen II",235464,184693,0.123745819397993
"Berlin-Tempelhof-Schöneberg",235250,178666,0.127090301003344
"Unterems",235234,174789,0.130434782608696
"Hamm – Unna II",235213,169568,0.133779264214047
"München-Land",235172,196136,0.137123745819398
"Rosenheim",235170,184948,0.140468227424749
"Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg",234446,167872,0.1438127090301
"Odenwald",234422,181831,0.147157190635452
"Gütersloh I",234272,174626,0.150501672240803
"Hannover-Land I",232926,180096,0.153846153846154
"Dresden I",232636,180647,0.157190635451505
"Soest",232301,172492,0.160535117056856
"Münster",232294,189854,0.163879598662207
"Lörrach – Müllheim",232208,175517,0.167224080267559
"Fürstenfeldbruck",232125,189300,0.17056856187291
"Mittelems",230151,178624,0.173913043478261
"Neckar-Zaber",229280,184382,0.177257525083612
"Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis",229126,169352,0.180602006688963
"Kaiserslautern",229114,169379,0.183946488294314
"Herford – Minden-Lübbecke II",228976,166592,0.187290969899666
"Flensburg – Schleswig",228471,170318,0.190635451505017
"Aachen II",228248,171176,0.193979933110368
"Leipzig II",227718,173636,0.197324414715719
"Delmenhorst – Wesermarsch – Oldenburg-Land",227696,168228,0.20066889632107
"Bonn",227583,178941,0.204013377926421
"Roth",227560,184186,0.207357859531773
"Viersen",227423,171590,0.210702341137124
"Oberallgäu",226604,175197,0.214046822742475
"München-Nord",226436,173121,0.217391304347826
"Märkisch-Oderland – Barnim II",226424,167605,0.220735785953177
"Oldenburg – Ammerland",226253,174170,0.224080267558528
"Kleve",226096,167383,0.22742474916388
"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II",226039,154628,0.230769230769231
"Würzburg",225998,181297,0.234113712374582
"Schwäbisch Hall – Hohenlohe",225785,169860,0.237458193979933
"Anhalt",224401,145192,0.240802675585284
"Frankfurt am Main II",223942,170569,0.244147157190635
"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",223427,171349,0.247491638795987
"Rostock – Landkreis Rostock II",222913,162239,0.250836120401338
"Waiblingen",222891,176407,0.254180602006689
"Solingen – Remscheid – Wuppertal II",222845,161762,0.25752508361204
"Ulm",222673,175444,0.260869565217391
"Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis",222558,160840,0.264214046822742
"Kassel",222451,165278,0.267558528428094
"Freiburg",222308,179374,0.270903010033445
"Hamburg-Bergedorf – Harburg",222031,153768,0.274247491638796
"Erfurt – Weimar – Weimarer Land II",221922,165925,0.277591973244147
"Aalen – Heidenheim",221853,167586,0.280936454849498
"Bremen II – Bremerhaven",221655,145606,0.284280936454849
"Berlin-Steglitz-Zehlendorf",221210,178373,0.287625418060201
"Erzgebirgskreis I",220917,163552,0.290969899665552
"Börde – Jerichower Land",220786,145948,0.294314381270903
"Düsseldorf I",220764,171387,0.297658862876254
"Leipzig I",220654,159781,0.301003344481605
"Neustadt – Speyer",220550,173721,0.304347826086957
"Göttingen",220420,169108,0.307692307692308
"Rheingau-Taunus – Limburg",220342,171338,0.311036789297659
"Offenbach",220194,160983,0.31438127090301
"Cloppenburg – Vechta",220042,162119,0.317725752508361
"Pforzheim",219577,165973,0.321070234113712
"Gifhorn – Peine",218556,167373,0.324414715719064
"Hildesheim",218349,167861,0.327759197324415
"Emmendingen – Lahr",218287,166356,0.331103678929766
"Ludwigsburg",218074,173535,0.334448160535117
"Heidelberg",217934,177570,0.337792642140468
"Gießen",217806,164158,0.341137123745819
"Südpfalz",217633,170011,0.344481605351171
"Rheinisch-Bergischer Kreis",217425,172240,0.347826086956522
"Hamburg-Nord",217226,177363,0.351170568561873
"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",216800,155102,0.354515050167224
"München-Süd",216725,169397,0.357859531772575
"Eichsfeld – Nordhausen – Kyffhäuserkreis",216673,156075,0.361204013377926
"Schwandorf",216418,159086,0.364548494983278
"Bad Kissingen",216030,169407,0.367892976588629
"Rhein-Sieg-Kreis II",216020,172898,0.37123745819398
"Amberg",215876,167850,0.374581939799331
"Leipzig-Land",215616,159004,0.377926421404682
"Harz",215607,141128,0.381270903010033
"Ludwigshafen/Frankenthal",215595,159181,0.384615384615385
"Neuss I",214779,158292,0.387959866220736
"Halle",214668,150275,0.391304347826087
"Celle – Uelzen",214612,160796,0.394648829431438
"Bautzen I",213990,158876,0.397993311036789
"Starnberg – Landsberg am Lech",213628,175679,0.40133779264214
"Worms",213627,167176,0.404682274247492
"Görlitz",213021,153643,0.408026755852843
"Siegen-Wittgenstein",212912,160701,0.411371237458194
"Leverkusen – Köln IV",212212,153520,0.414715719063545
"Mecklenburgische Seenplatte II – Landkreis Rostock III",212099,142376,0.418060200668896
"Dortmund I",211316,154526,0.421404682274247
"Höxter – Lippe II",211026,157854,0.424749163879599
"Odenwald – Tauber",210876,161223,0.42809364548495
"Augsburg-Stadt",210528,151642,0.431438127090301
"Montabaur",210114,158697,0.434782608695652
"Fulda",209966,159299,0.438127090301003
"Karlsruhe-Land",209741,166740,0.441471571906354
"Warendorf",209604,161586,0.444816053511706
"Karlsruhe-Stadt",208868,160506,0.448160535117057
"Lahn-Dill",208744,152554,0.451505016722408
"Traunstein",208466,159225,0.454849498327759
"Oberbergischer Kreis",208418,154631,0.45819397993311
"Wuppertal I",208129,148006,0.461538461538462
"Zwickau",207606,143380,0.464882943143813
"Saarlouis",207501,158015,0.468227424749164
"Hagen – Ennepe-Ruhr-Kreis I",207384,148299,0.471571906354515
"Wesel I",207178,158681,0.474916387959866
"Mansfeld",207103,137657,0.478260869565217
"Nürtingen",207044,166287,0.481605351170569
"Olpe – Märkischer Kreis I",206716,150760,0.48494983277592
"Berlin-Mitte",206706,149071,0.488294314381271
"Rastatt",206484,154890,0.491638795986622
"Bochum I",206460,155017,0.494983277591973
"Salzgitter – Wolfenbüttel",206133,155479,0.498327759197324
