"district_number","district_name","state","mandate_actual","mandate_optimized","votes_needed","votes_halved","cummulative_votes","min_size","max_divisor","max_size","min_divisor","selected_divisor","final_size"
"Election","Election","Election","Election","Election",0,0,0,709,62394.27,709,62202.28,"Election",709
"207","Ludwigshafen/Frankenthal","rhn","cdu","spd",428,214,214,705,62708,705,62708,"62709",705
"161","Mittelsachsen","sac","cdu","afd",1403,702,916,701,63026,702,62966,"63000",701
"186","Darmstadt","hes","cdu","spd",1774,887,1803,700,63070,701,63026,"63030",700
"11","Lübeck","sch","cdu","spd",1854,927,2730,700,63070,701,63026,"63030",700
"275","Mannheim","bad","cdu","spd",2017,1009,3739,700,63070,701,63026,"63030",700
"299","Homburg","sar","cdu","spd",3080,1540,5279,700,63070,701,63026,"63030",700
"184","Groß-Gerau","hes","cdu","spd",3621,1811,7090,700,63070,701,63026,"63030",700
"258","Stuttgart I","bad","cdu","greens",3688,1844,8934,700,63070,701,63026,"63030",700
"162","Chemnitz","sac","cdu","afd",3695,1848,10782,700,63070,701,63026,"63030",700
"159","Dresden I","sac","cdu","afd",4008,2004,12786,700,63070,701,63026,"63030",700
"64","Cottbus – Spree-Neiße","bra","cdu","afd",4079,2040,14826,700,63070,701,63026,"63030",700
"281","Freiburg","bad","cdu","greens",4141,2071,16897,700,63070,701,63026,"63030",700
"19","Hamburg-Altona","ham","spd","cdu",4372,2186,19083,700,63070,701,63026,"63030",700
"20","Hamburg-Eimsbüttel","ham","spd","cdu",4504,2252,21335,700,63070,701,63026,"63030",700
"182","Frankfurt am Main I","hes","cdu","spd",4959,2480,23815,700,63070,701,63026,"63030",700
"194","Gera – Greiz – Altenburger Land","thu","cdu","afd",5422,2711,26526,700,63070,701,63026,"63030",700
"65","Elbe-Elster – Oberspreewald-Lausitz II","bra","cdu","afd",5803,2902,29428,700,63070,701,63026,"63030",700
"203","Trier","rhn","cdu","spd",6328,3164,32592,700,63070,701,63026,"63030",700
"63","Frankfurt (Oder) – Oder-Spree","bra","cdu","afd",7083,3542,36134,700,63070,701,63026,"63030",700
"195","Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis","thu","cdu","afd",7417,3709,39843,700,63070,701,63026,"63030",700
"192","Gotha – Ilm-Kreis","thu","cdu","afd",7423,3712,43555,700,63070,701,63026,"63030",700
"201","Kreuznach","rhn","cdu","spd",7602,3801,47356,700,63070,701,63026,"63030",700
"14","Rostock – Landkreis Rostock II","mec","cdu","linke",7721,3861,51217,700,63070,701,63026,"63030",700
"271","Karlsruhe-Stadt","bad","cdu","spd",7897,3949,55166,700,63070,701,63026,"63030",700
"244","Nürnberg-Nord","bay","csu","spd",8272,4136,59302,685,64487,685,64487,"64488",685
"72","Halle","saa","cdu","spd",8637,4319,63621,685,64487,685,64487,"64488",685
"13","Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I","mec","cdu","spd",8748,4374,67995,685,64487,685,64487,"64488",685
"69","Magdeburg","saa","cdu","spd",9144,4572,72567,685,64487,685,64487,"64488",685
"74","Mansfeld","saa","cdu","afd",9861,4931,77498,685,64487,685,64487,"64488",685
"217","München-Nord","bay","csu","spd",10743,5372,82870,671,65969,672,65686,"65700",671
"54","Bremen I","bre","spd","cdu",10744,5372,88242,671,65969,672,65686,"65700",671
"274","Heidelberg","bad","cdu","spd",11800,5900,94142,671,65969,672,65686,"65700",671
"245","Nürnberg-Süd","bay","csu","spd",11890,5945,100087,654,67522,654,67522,"67520",655
"73","Burgenland – Saalekreis","saa","cdu","afd",13142,6571,106658,654,67522,654,67522,"67520",655
"9","Ostholstein – Stormarn-Nord","sch","cdu","spd",14764,7382,114040,654,67522,654,67522,"67520",655
"6","Plön – Neumünster","sch","cdu","spd",15381,7691,121731,654,67522,654,67522,"67520",655
"219","München-Süd","bay","csu","spd",16021,8011,129742,638,69149,638,69149,"69150",638
"220","München-West/Mitte","bay","csu","spd",19731,9866,139608,625,70856,625,70856,"70857",625
"259","Stuttgart II","bad","cdu","spd",20697,10349,149957,625,70856,625,70856,"70857",625
"277","Rhein-Neckar","bad","cdu","spd",20902,10451,160408,625,70856,625,70856,"70857",625
"263","Göppingen","bad","cdu","spd",21162,10581,170989,625,70856,625,70856,"70857",625
"267","Heilbronn","bad","cdu","spd",22136,11068,182057,625,70856,625,70856,"70857",625
"238","Coburg","bay","csu","spd",22915,11458,193515,619,71249,619,71249,"71250",619
"283","Emmendingen – Lahr","bad","cdu","spd",23004,11502,205017,619,71249,619,71249,"71250",619
"252","Augsburg-Stadt","bay","csu","spd",23484,11742,216759,619,71249,619,71249,"71250",619
"288","Waldshut","bad","cdu","spd",24006,12003,228762,619,71249,619,71249,"71250",619
