"district_number","district_name","state","mandate_actual","mandate_optimized","votes_needed","votes_halved"
1,"Flensburg – Schleswig","sch","cdu","cdu",0,0
2,"Nordfriesland – Dithmarschen Nord","sch","cdu","cdu",0,0
3,"Steinburg – Dithmarschen Süd","sch","cdu","cdu",0,0
4,"Rendsburg-Eckernförde","sch","cdu","cdu",0,0
5,"Kiel","sch","spd","spd",0,0
6,"Plön – Neumünster","sch","cdu","spd",15381,7691
7,"Pinneberg","sch","cdu","cdu",0,0
8,"Segeberg – Stormarn-Mitte","sch","cdu","cdu",0,0
9,"Ostholstein – Stormarn-Nord","sch","cdu","spd",14764,7382
10,"Herzogtum Lauenburg – Stormarn-Süd","sch","cdu","cdu",0,0
11,"Lübeck","sch","cdu","spd",1854,927
18,"Hamburg-Mitte","ham","spd","spd",0,0
19,"Hamburg-Altona","ham","spd","cdu",4372,2186
20,"Hamburg-Eimsbüttel","ham","spd","cdu",4504,2252
21,"Hamburg-Nord","ham","cdu","cdu",0,0
22,"Hamburg-Wandsbek","ham","spd","spd",0,0
23,"Hamburg-Bergedorf – Harburg","ham","spd","spd",0,0
24,"Aurich – Emden","nds","spd","spd",0,0
25,"Unterems","nds","cdu","cdu",0,0
26,"Friesland – Wilhelmshaven – Wittmund","nds","spd","spd",0,0
27,"Oldenburg – Ammerland","nds","spd","spd",0,0
28,"Delmenhorst – Wesermarsch – Oldenburg-Land","nds","cdu","cdu",0,0
29,"Cuxhaven – Stade II","nds","cdu","cdu",0,0
30,"Stade I – Rotenburg II","nds","cdu","cdu",0,0
31,"Mittelems","nds","cdu","cdu",0,0
32,"Cloppenburg – Vechta","nds","cdu","cdu",0,0
33,"Diepholz – Nienburg I","nds","cdu","cdu",0,0
34,"Osterholz – Verden","nds","cdu","cdu",0,0
35,"Rotenburg I – Heidekreis","nds","spd","spd",0,0
36,"Harburg","nds","cdu","cdu",0,0
37,"Lüchow-Dannenberg – Lüneburg","nds","cdu","cdu",0,0
38,"Osnabrück-Land","nds","cdu","cdu",0,0
39,"Stadt Osnabrück","nds","cdu","cdu",0,0
40,"Nienburg II – Schaumburg","nds","cdu","cdu",0,0
41,"Stadt Hannover I","nds","spd","spd",0,0
42,"Stadt Hannover II","nds","spd","spd",0,0
43,"Hannover-Land I","nds","cdu","cdu",0,0
44,"Celle – Uelzen","nds","cdu","cdu",0,0
45,"Gifhorn – Peine","nds","spd","spd",0,0
46,"Hameln-Pyrmont – Holzminden","nds","spd","spd",0,0
47,"Hannover-Land II","nds","spd","spd",0,0
48,"Hildesheim","nds","spd","spd",0,0
49,"Salzgitter – Wolfenbüttel","nds","spd","spd",0,0
50,"Braunschweig","nds","spd","spd",0,0
51,"Helmstedt – Wolfsburg","nds","spd","spd",0,0
52,"Goslar – Northeim – Osterode","nds","cdu","cdu",0,0
53,"Göttingen","nds","spd","spd",0,0
54,"Bremen I","bre","spd","cdu",10744,5372
55,"Bremen II – Bremerhaven","bre","spd","spd",0,0
87,"Aachen I","nrw","cdu","cdu",0,0
88,"Aachen II","nrw","spd","spd",0,0
89,"Heinsberg","nrw","cdu","cdu",0,0
90,"Düren","nrw","cdu","cdu",0,0
91,"Rhein-Erft-Kreis I","nrw","cdu","cdu",0,0
92,"Euskirchen – Rhein-Erft-Kreis II","nrw","cdu","cdu",0,0
93,"Köln I","nrw","cdu","cdu",0,0
94,"Köln II","nrw","cdu","cdu",0,0
95,"Köln III","nrw","spd","spd",0,0
96,"Bonn","nrw","spd","spd",0,0
97,"Rhein-Sieg-Kreis I","nrw","cdu","cdu",0,0
98,"Rhein-Sieg-Kreis II","nrw","cdu","cdu",0,0
99,"Oberbergischer Kreis","nrw","cdu","cdu",0,0
100,"Rheinisch-Bergischer Kreis","nrw","cdu","cdu",0,0
101,"Leverkusen – Köln IV","nrw","spd","spd",0,0
102,"Wuppertal I","nrw","spd","spd",0,0
103,"Solingen – Remscheid – Wuppertal II","nrw","cdu","cdu",0,0
104,"Mettmann I","nrw","cdu","cdu",0,0
105,"Mettmann II","nrw","cdu","cdu",0,0
106,"Düsseldorf I","nrw","cdu","cdu",0,0
107,"Düsseldorf II","nrw","cdu","cdu",0,0
108,"Neuss I","nrw","cdu","cdu",0,0
109,"Mönchengladbach","nrw","cdu","cdu",0,0
110,"Krefeld I – Neuss II","nrw","cdu","cdu",0,0
111,"Viersen","nrw","cdu","cdu",0,0
112,"Kleve","nrw","cdu","cdu",0,0
113,"Wesel I","nrw","cdu","cdu",0,0
114,"Krefeld II – Wesel II","nrw","cdu","cdu",0,0
115,"Duisburg I","nrw","spd","spd",0,0
116,"Duisburg II","nrw","spd","spd",0,0
117,"Oberhausen – Wesel III","nrw","spd","spd",0,0
118,"Mülheim – Essen I","nrw","spd","spd",0,0
119,"Essen II","nrw","spd","spd",0,0
120,"Essen III","nrw","cdu","cdu",0,0
121,"Recklinghausen I","nrw","spd","spd",0,0
122,"Recklinghausen II","nrw","spd","spd",0,0
123,"Gelsenkirchen","nrw","spd","spd",0,0
124,"Steinfurt I – Borken I","nrw","cdu","cdu",0,0
125,"Bottrop – Recklinghausen III","nrw","spd","spd",0,0
126,"Borken II","nrw","cdu","cdu",0,0
127,"Coesfeld – Steinfurt II","nrw","cdu","cdu",0,0
128,"Steinfurt III","nrw","cdu","cdu",0,0
129,"Münster","nrw","cdu","cdu",0,0
130,"Warendorf","nrw","cdu","cdu",0,0
131,"Gütersloh I","nrw","cdu","cdu",0,0
132,"Bielefeld – Gütersloh II","nrw","spd","spd",0,0
133,"Herford – Minden-Lübbecke II","nrw","spd","spd",0,0
134,"Minden-Lübbecke I","nrw","spd","spd",0,0
135,"Lippe I","nrw","cdu","cdu",0,0
136,"Höxter – Lippe II","nrw","cdu","cdu",0,0
137,"Paderborn – Gütersloh III","nrw","cdu","cdu",0,0
138,"Hagen – Ennepe-Ruhr-Kreis I","nrw","spd","spd",0,0
139,"Ennepe-Ruhr-Kreis II","nrw","spd","spd",0,0
140,"Bochum I","nrw","spd","spd",0,0
141,"Herne – Bochum II","nrw","spd","spd",0,0
142,"Dortmund I","nrw","spd","spd",0,0
143,"Dortmund II","nrw","spd","spd",0,0
144,"Unna I","nrw","spd","spd",0,0
145,"Hamm – Unna II","nrw","spd","spd",0,0
146,"Soest","nrw","cdu","cdu",0,0
147,"Hochsauerlandkreis","nrw","cdu","cdu",0,0
148,"Siegen-Wittgenstein","nrw","cdu","cdu",0,0
149,"Olpe – Märkischer Kreis I","nrw","cdu","cdu",0,0
150,"Märkischer Kreis II","nrw","spd","spd",0,0
167,"Waldeck","hes","spd","spd",0,0
168,"Kassel","hes","spd","spd",0,0
169,"Werra-Meißner – Hersfeld-Rotenburg","hes","spd","spd",0,0
170,"Schwalm-Eder","hes","spd","spd",0,0
171,"Marburg","hes","spd","spd",0,0
172,"Lahn-Dill","hes","cdu","cdu",0,0
173,"Gießen","hes","cdu","cdu",0,0
174,"Fulda","hes","cdu","cdu",0,0
175,"Main-Kinzig – Wetterau II – Schotten","hes","cdu","cdu",0,0
176,"Hochtaunus","hes","cdu","cdu",0,0
177,"Wetterau I","hes","cdu","cdu",0,0
178,"Rheingau-Taunus – Limburg","hes","cdu","cdu",0,0
179,"Wiesbaden","hes","cdu","cdu",0,0
180,"Hanau","hes","cdu","cdu",0,0
181,"Main-Taunus","hes","cdu","cdu",0,0
